###### framework ######
All companies;-;Alla företag
Automatically send reminder on email?;-;Vill du att epostpåminnelse ska skickas automatiskt?
Automatically send reminder on sms?;-;Vill du att smspåminnelse ska skickas automatiskt?
Available tests;-;Tillgängliga tester
Build your newsletter;-;Skapa ditt nyhtesbrev
Cancel;-;Avbryt
Candidate name;-;Kandidatens namn
Cellphone;-;Mobil
Change company settings below;-;Ändra företagsinställningar nedan
Check this if you administrate your mechanics.;-;Bocka i denna om di vill administrera dina mekaniker
Checking;-;Kontrollerar
Click on me to edit;-;Klicka för att ändra
Colors;-;Färger
Comment;-;Kommentar
Company;-;Företag
Company Vatnumber;-;Organisationsnummer
Company country;-;Land
Company name;-;Företagsnamn
Company postnumber;-;Postnummer
Confirm;-;Bekräfta
Connected to group;-;Knuten till grupp
Contact;-;Kontakt
Contact form;-;Kontaktformulär
Create;-;Skapa
Create a new test;-;Skapa nytt test
Create company;-;Skapa företag
Create test;-;Skapa test
Create user;-;Skapa användare
Customers;-;Kunder
Date of the event;-;Kursdatum
Default;-;Förvalt
Delay (ms);-;Fördröjning
Event canceled emails / sms;-;Inställd kurs SMS/Email
Event helder;-;Kursledare
Event statuses;-;Kursstatus
Extended description;-;Beskrivning
Freetext event helder;-;Fritext kursledare
Garage leader;-;Verkstadsadministrator
General company settings;-;Generella företagsinställningar
Go back;-;Gå tillbaka
Go to page;-;Gå till sida
Group Logo;-;Grupplogo
Hos not participated on any events;-;Har inte deltagit på några kurser
Impersonate;-;Överta person
Link to page.;-;Länk till sida
Location of the event;-;Kursort
Monday - Friday;-;Måndag - Fredag
Name of the customer;-;Kundens namn
Name of the event;-;Kursens namn
Name of the test;-;Testets namn
New company;-;Nytt företag
No events;-;Inga kurser
Postcode;-;Postnummer
Price: n/a;-;Pris ej tillgängligt
Send days before;-;Skicka, antal dagar för
Send email;-;Skicka epost
Send email when event is canceled?;-;Skicka epost vid inställd kurs?
Send sms when event is canceled?;-;Skicka SMS vid inställd kurs?
Should send email when user is removed from waitinglist?;-;Skicka epost när användare tas bort från väntelista?
Should send email when user is removed?;-;Skicka epost när användare tas bort?
Should send email when user signs up for waitinglist?;-;Skicka epost när användare sätts på väntlista?
Should send email when user signs up?;-;Skicka epost när användare anmäler sig?
Should send sms when user is removed from waitinglist?;-;Skicka SMS när användare tas bort från väntlista?
Should send sms when user is removed?;-;Skicka SMS när användare tas bort?
Should send sms when user signs up waitinglist?;-;Skicka SMS när användare sätts på väntlista?
Should send sms when user signs up?;-;Skicka SMS när användare anmäler sig?
Should users be notified when a new test is available?;-;Ska användare få utskick när ett test finns tillgängligt?


