###### framework ######
April;-;April
August;-;Augusti
Available positions;-;Lediga platser
Back;-;Tillbaka
Booking;-;Anmäl
By calendar;-;Kalender
By list;-;Lista
Candidate name;-;Deltagarens namn
Company;-;Orgnr/Företag
Company name;-;Organisationsnr
Continue;-;Fortsätt
Date;-;Datum
December;-;December
Download as pdf;-;Skriv ut som PDF
February;-;Februari
Friday;-;Fredag
Invoice email;-;Verkstadens e-post
January;-;Januari
July;-;Juli
June;-;Juni
March;-;Mars
May;-;Maj
Monday;-;Måndag
More information;-;Mer information
My name is:;-;Mitt namn är:
Name;-;Ditt namn
November;-;November
October;-;Oktober
Password;-;Lösen
Phone;-;Tel.nr
Read more;-;Läs mer
Saturday;-;Lördag
Search;-;Sök
Search for the company you want to enter by clicking the button above, and this box will be filled automatically.;-;Hitta dit företag genom att fylla i hela org.nr i fältet ovan. I vissa fall går det även bra att söka på företagsnamn
Select event location;-;Välj kursort
Send message;-;Skicka
Send us mail;-;Skicka ett meddelande till oss
September;-;September
Sign up;-;Anmälan
Sign up for waiting list;-;Anmäl till väntelista
Sunday;-;Söndag
There is no entries for this event;-;Det finns inga tillgängliga tillfällen 
This event has the following entries;-;Följande tillfällen är tillgängliga
Thursday;-;Torsdag
Tuesday;-;Tisdag
Waiting list;-;väntelista
We host events at the following locations, click on the location to filter the calendar by location(s);-;Följande tillfällen finns tillgängliga. Filtrera genom att markera orter i listan nedan
Wednesday;-;Onsdag
What's on your mind?;-;Meddelande:
Your are now signed up for the event;-;Du är nu anmäld!
Your email;-;Din e-postadress
Your emailaddress;-;Din e-postadress
Your phonenumber;-;Ditt mobilnr
change;-;Ändra
course;-;Kurs
day;-;Datum
email;-;Deltagarens e-post
location;-;Plats:
phone;-;Deltagarens mobiltelefon


