###### framework ######
April;-;April
August;-;Augusti
Available positions;-;Lediga platser
Booking;-;Anmäl
By calendar;-;Kalender
By list;-;Lista
Candidate name;-;Deltagarens namn
Company;-;Företag
Company name;-;Företag namn
Date;-;Datum
December;-;December
Download as pdf;-;Skriv ut som PDF
February;-;Februari
Friday;-;Fredag
January;-;Januari
July;-;Juli
June;-;Juni
March;-;Mars
May;-;Maj
Monday;-;Måndag
More information;-;Mer information
My name is:;-;Mitt namn är:
November;-;November
October;-;Oktober
Phone;-;Tel.nr
Read more;-;Läs mer
Saturday;-;Lördag
Search for the company you want to enter by clicking the button above, and this box will be filled automatically.;-;Sök efter ditt företag genom att klicka i fältet ovan och fyll i org.nr eller företagsnamn.
Select event location;-;Välj kursort
Send message;-;Skicka
Send us mail;-;Skicka ett meddelande till oss
September;-;September
Sign up;-;Anmälan
Sunday;-;Söndag
There is no entries for this event;-;Det finns inga tillgängliga tillfällen 
This event has the following entries;-;Följande tillfällen är tillgängliga
Thursday;-;Torsdag
Tuesday;-;Tisdag
Wednesday;-;Onsdag
What's on your mind?;-;Meddelande:
change;-;Ändra
course;-;Kurs
day;-;Datum
email;-;Deltagarens e-post
location;-;Plats:
phone;-;Deltagarens mobiltelefon


